call_id,caller,receiver,timestamp,duration,cell_tower
C0034,9876500001,9876500004,2026-05-12T19:59,386,T002
C0035,9876500003,9876500005,2026-05-13T09:10,418,T006
C0036,9876500005,9876500007,2026-05-13T09:19,536,T005
C0037,9876500007,9876500008,2026-05-13T16:56,554,T002
C0038,9876500003,9876500005,2026-05-14T19:45,167,T003
C0039,9876500005,9876500007,2026-05-14T19:00,92,T003
C0040,9876500007,9876500008,2026-05-14T10:59,398,T004
C0041,9876500001,9876500004,2026-05-14T16:52,140,T003
C0042,9876500005,9876500007,2026-05-15T20:37,358,T003
C0043,9876500007,9876500008,2026-05-15T22:18,98,T005
C0044,9876500001,9876500002,2026-05-16T21:22,558,T001
C0045,9876500003,9876500005,2026-05-16T13:35,393,T004
C0046,9876500005,9876500007,2026-05-16T09:13,697,T004
C0047,9876500003,9876500005,2026-05-17T11:29,452,T005
C0048,9876500007,9876500008,2026-05-17T09:13,127,T005
C0049,9876500001,9876500004,2026-05-17T15:12,452,T005
C0050,9876500002,9876500003,2026-05-18T18:39,578,T001
C0051,9876500003,9876500005,2026-05-18T10:28,537,T005
C0052,9876500005,9876500007,2026-05-18T12:50,220,T005
C0053,9876500007,9876500008,2026-05-18T16:36,251,T005
C0054,9876500001,9876500004,2026-05-18T16:27,151,T001
C0055,9876500002,9876500003,2026-05-19T09:18,379,T003
C0056,9876500005,9876500007,2026-05-19T08:27,595,T003
C0057,9876500001,9876500002,2026-05-20T12:06,451,T003
C0058,9876500003,9876500005,2026-05-20T20:29,461,T004
C0059,9876500005,9876500007,2026-05-20T22:20,391,T005
C0060,9876500007,9876500008,2026-05-20T19:36,128,T001
C0061,9876500001,9876500004,2026-05-20T12:42,319,T004
C0062,9876500002,9876500003,2026-05-21T11:42,424,T002
C0063,9876500003,9876500005,2026-05-21T14:12,599,T002
C0064,9876500007,9876500008,2026-05-21T20:53,608,T004
C0065,9876500001,9876500002,2026-05-22T14:19,209,T001
C0066,9876500002,9876500003,2026-05-22T23:18,427,T002
C0067,9876500003,9876500005,2026-05-22T14:02,120,T002
C0068,9876500005,9876500007,2026-05-22T10:23,449,T006
C0069,9876500001,9876500004,2026-05-22T18:42,415,T001
C0070,9876500002,9876500003,2026-05-23T21:03,435,T006
C0071,9876500003,9876500005,2026-05-23T10:28,511,T006
C0072,9876500001,9876500002,2026-05-24T10:33,203,T002
C0073,9876500002,9876500003,2026-05-24T21:29,175,T006
C0074,9876500003,9876500005,2026-05-24T12:54,105,T004
C0075,9876500007,9876500008,2026-05-24T22:51,319,T006
C0076,9876500001,9876500004,2026-05-24T16:51,374,T003
C0077,9876500001,9876500002,2026-05-25T12:54,377,T002
C0078,9876500002,9876500003,2026-05-25T16:12,516,T006
C0079,9876500003,9876500005,2026-05-25T16:12,83,T003
C0080,9876500005,9876500007,2026-05-25T12:13,676,T001
C0081,9876500001,9876500002,2026-05-26T16:53,54,T002
C0082,9876500002,9876500003,2026-05-26T16:28,625,T005
C0083,9876500005,9876500007,2026-05-26T22:22,194,T006
C0084,9876500007,9876500008,2026-05-26T22:54,367,T003
C0085,9876500001,9876500004,2026-05-26T18:31,515,T003
C0086,9876500001,9876500002,2026-05-27T08:20,224,T002
C0087,9876500003,9876500005,2026-05-27T14:54,252,T003
C0088,9876500002,9876500003,2026-05-28T09:55,611,T004
C0089,9876500003,9876500005,2026-05-28T09:22,436,T005
C0090,9876500005,9876500007,2026-05-28T14:23,360,T001
C0091,9876500007,9876500008,2026-05-28T21:03,521,T002
C0092,9876500001,9876500004,2026-05-28T09:34,589,T001
C0093,9876500003,9876500005,2026-05-29T08:13,462,T005
C0094,9876500007,9876500008,2026-05-29T22:57,129,T002
C0095,9876500001,9876500004,2026-05-29T16:13,431,T001
C0096,9876500003,9876500005,2026-05-30T10:53,172,T002
C0097,9876500007,9876500008,2026-05-30T18:08,673,T004
C0098,9876500001,9876500004,2026-05-30T19:15,545,T005
C0099,9876500002,9876500005,2026-05-21T09:00,520,T004
C0100,9876500002,9876500005,2026-05-21T10:01,171,T004
C0101,9876500002,9876500005,2026-05-21T11:02,371,T004
C0102,9876500002,9876500005,2026-05-21T12:03,394,T004
C0103,9876500002,9876500005,2026-05-21T13:04,465,T004
C0104,9876500002,9876500005,2026-05-21T14:05,456,T004
C0105,9876500002,9876500005,2026-05-21T15:06,203,T004
C0106,9876500002,9876500005,2026-05-21T16:07,273,T004
C0107,9876500002,9876500005,2026-05-21T17:08,555,T004
C0108,9876500002,9876500005,2026-05-21T18:09,76,T004
C0109,9876500002,9876500005,2026-05-21T19:10,368,T004
C0110,9876500002,9876500005,2026-05-21T20:11,454,T004
C0111,9876500002,9876500005,2026-05-21T09:12,565,T004
C0112,9876500002,9876500005,2026-05-21T10:13,287,T004
C0113,9876500002,9876500005,2026-05-21T11:14,348,T004
C0114,9876500002,9876500005,2026-05-21T12:15,391,T004
C0115,9876500002,9876500005,2026-05-21T13:16,480,T004
C0116,9876500002,9876500005,2026-05-21T14:17,223,T004
C0117,9876500002,9876500005,2026-05-21T15:18,135,T004
C0118,9876500002,9876500005,2026-05-21T16:19,326,T004
C0119,9876500002,9876500005,2026-05-21T17:20,117,T004
C0120,9876500002,9876500005,2026-05-21T18:21,344,T004
C0121,9876500002,9876500005,2026-05-21T19:22,276,T004
C0122,9876500002,9876500005,2026-05-21T20:23,481,T004
C0123,9876500002,9876500005,2026-05-21T09:24,305,T004
C0124,9876500002,9876500005,2026-05-21T10:25,320,T004
C0125,9876500002,9876500005,2026-05-21T11:26,437,T004
C0126,9876500002,9876500005,2026-05-21T12:27,418,T004
C0127,9876500002,9876500005,2026-05-21T13:28,497,T004
C0128,9876500002,9876500005,2026-05-21T14:29,338,T004
C0129,9876500002,9876500005,2026-05-21T15:30,255,T004
C0130,9876500002,9876500005,2026-05-21T16:31,417,T004
C0131,9876500002,9876500005,2026-05-21T17:32,585,T004
C0132,9876500002,9876500005,2026-05-21T18:33,277,T004
C0133,9876500002,9876500005,2026-05-21T19:34,90,T004
